timestep_4,technology_2,technology_3,parameter,value
h0234,offshore,offshore_a,avaConv,0.745430304
h0235,offshore,offshore_a,avaConv,0.753435889
h0236,offshore,offshore_a,avaConv,0.705995018
h0237,offshore,offshore_a,avaConv,0.618778777
h0238,offshore,offshore_a,avaConv,0.635144154
h0239,offshore,offshore_a,avaConv,0.653054446
h0240,offshore,offshore_a,avaConv,0.630971107
h0241,offshore,offshore_a,avaConv,0.57160322
h0242,offshore,offshore_a,avaConv,0.571855796
h0243,offshore,offshore_a,avaConv,0.49584414
h0244,offshore,offshore_a,avaConv,0.507483511
h0245,offshore,offshore_a,avaConv,0.483801576
h0246,offshore,offshore_a,avaConv,0.461611455
h0247,offshore,offshore_a,avaConv,0.441858441
h0248,offshore,offshore_a,avaConv,0.409255223
h0249,offshore,offshore_a,avaConv,0.44867689
h0250,offshore,offshore_a,avaConv,0.424106389
h0251,offshore,offshore_a,avaConv,0.391232385
h0252,offshore,offshore_a,avaConv,0.411125358
h0253,offshore,offshore_a,avaConv,0.424493886
h0254,offshore,offshore_a,avaConv,0.400838974
h0255,offshore,offshore_a,avaConv,0.427877422
h0256,offshore,offshore_a,avaConv,0.502395722
h0257,offshore,offshore_a,avaConv,0.580663197
h0258,offshore,offshore_a,avaConv,0.583251462
h0259,offshore,offshore_a,avaConv,0.55404614
h0260,offshore,offshore_a,avaConv,0.549079806
h0261,offshore,offshore_a,avaConv,0.540553547
h0262,offshore,offshore_a,avaConv,0.556350917
h0263,offshore,offshore_a,avaConv,0.551822453
h0264,offshore,offshore_a,avaConv,0.56603319
h0265,offshore,offshore_a,avaConv,0.532834165
h0266,offshore,offshore_a,avaConv,0.498810827
h0267,offshore,offshore_a,avaConv,0.449620035
h0268,offshore,offshore_a,avaConv,0.424978024
h0269,offshore,offshore_a,avaConv,0.405106889
h0270,offshore,offshore_a,avaConv,0.473550049
h0271,offshore,offshore_a,avaConv,0.505790258
h0272,offshore,offshore_a,avaConv,0.505522659
h0273,offshore,offshore_a,avaConv,0.526463053
h0274,offshore,offshore_a,avaConv,0.564424916
h0275,offshore,offshore_a,avaConv,0.545814515
h0276,offshore,offshore_a,avaConv,0.456383461
h0277,offshore,offshore_a,avaConv,0.473550049
h0278,offshore,offshore_a,avaConv,0.505701066
h0279,offshore,offshore_a,avaConv,0.428263309
h0280,offshore,offshore_a,avaConv,0.41289338
h0281,offshore,offshore_a,avaConv,0.380800275
h0282,offshore,offshore_a,avaConv,0.376405228
h0283,offshore,offshore_a,avaConv,0.347272401
h0284,offshore,offshore_a,avaConv,0.354159631
h0285,offshore,offshore_a,avaConv,0.371160976
h0286,offshore,offshore_a,avaConv,0.328836984
h0287,offshore,offshore_a,avaConv,0.349079841
h0288,offshore,offshore_a,avaConv,0.406590722
h0289,offshore,offshore_a,avaConv,0.518998601
h0290,offshore,offshore_a,avaConv,0.62976493
h0291,offshore,offshore_a,avaConv,0.729896839
h0292,offshore,offshore_a,avaConv,0.785720498
h0293,offshore,offshore_a,avaConv,0.813403025
h0294,offshore,offshore_a,avaConv,0.776123535
h0295,offshore,offshore_a,avaConv,0.69005259
h0296,offshore,offshore_a,avaConv,0.52707555
h0297,offshore,offshore_a,avaConv,0.354581396
h0298,offshore,offshore_a,avaConv,0.240244521
h0299,offshore,offshore_a,avaConv,0.165568073
h0300,offshore,offshore_a,avaConv,0.144883078
h0301,offshore,offshore_a,avaConv,0.130569631
h0302,offshore,offshore_a,avaConv,0.158250687
h0303,offshore,offshore_a,avaConv,0.211702975
h0304,offshore,offshore_a,avaConv,0.230271314
h0305,offshore,offshore_a,avaConv,0.337628574
h0306,offshore,offshore_a,avaConv,0.487438094
h0307,offshore,offshore_a,avaConv,0.469863452
h0308,offshore,offshore_a,avaConv,0.437476195
h0309,offshore,offshore_a,avaConv,0.366815867
h0310,offshore,offshore_a,avaConv,0.378554646
h0311,offshore,offshore_a,avaConv,0.414559914
h0312,offshore,offshore_a,avaConv,0.388712456
h0313,offshore,offshore_a,avaConv,0.306975019
h0314,offshore,offshore_a,avaConv,0.234899083
h0315,offshore,offshore_a,avaConv,0.244154296
h0316,offshore,offshore_a,avaConv,0.21197163
h0317,offshore,offshore_a,avaConv,0.256816966
h0318,offshore,offshore_a,avaConv,0.325113643
h0319,offshore,offshore_a,avaConv,0.384563037
h0320,offshore,offshore_a,avaConv,0.432017185
h0321,offshore,offshore_a,avaConv,0.515468407
h0322,offshore,offshore_a,avaConv,0.572108319
h0323,offshore,offshore_a,avaConv,0.633380213
h0324,offshore,offshore_a,avaConv,0.650125199
h0325,offshore,offshore_a,avaConv,0.685653499
h0326,offshore,offshore_a,avaConv,0.674012863
h0327,offshore,offshore_a,avaConv,0.66823522
h0328,offshore,offshore_a,avaConv,0.616830528
h0329,offshore,offshore_a,avaConv,0.563916592
h0330,offshore,offshore_a,avaConv,0.518028927
h0331,offshore,offshore_a,avaConv,0.398247977
h0332,offshore,offshore_a,avaConv,0.401734022
h0333,offshore,offshore_a,avaConv,0.391031072
h0334,offshore,offshore_a,avaConv,0.364426118
h0335,offshore,offshore_a,avaConv,0.349398343
h0336,offshore,offshore_a,avaConv,0.35542422
h0337,offshore,offshore_a,avaConv,0.388005499
h0338,offshore,offshore_a,avaConv,0.403025215
h0339,offshore,offshore_a,avaConv,0.459374315
h0340,offshore,offshore_a,avaConv,0.523132199
h0341,offshore,offshore_a,avaConv,0.564255499
h0342,offshore,offshore_a,avaConv,0.633620887
h0343,offshore,offshore_a,avaConv,0.654398245
h0344,offshore,offshore_a,avaConv,0.665964595
h0345,offshore,offshore_a,avaConv,0.591481326
h0346,offshore,offshore_a,avaConv,0.498361864
h0347,offshore,offshore_a,avaConv,0.433840444
h0348,offshore,offshore_a,avaConv,0.35805201
h0349,offshore,offshore_a,avaConv,0.313709066
h0350,offshore,offshore_a,avaConv,0.281775376
h0351,offshore,offshore_a,avaConv,0.235921645
h0352,offshore,offshore_a,avaConv,0.204933364
h0353,offshore,offshore_a,avaConv,0.164964165
h0354,offshore,offshore_a,avaConv,0.118846996
h0355,offshore,offshore_a,avaConv,0.07244265
h0356,offshore,offshore_a,avaConv,0.054669826
h0357,offshore,offshore_a,avaConv,0.065376165
h0358,offshore,offshore_a,avaConv,0.085279812
h0359,offshore,offshore_a,avaConv,0.08237013
h0360,offshore,offshore_a,avaConv,0.106922561
h0361,offshore,offshore_a,avaConv,0.149981191
h0362,offshore,offshore_a,avaConv,0.175094584
h0363,offshore,offshore_a,avaConv,0.196668037
h0364,offshore,offshore_a,avaConv,0.155154556
h0365,offshore,offshore_a,avaConv,0.08753355
h0366,offshore,offshore_a,avaConv,0.118670607
h0367,offshore,offshore_a,avaConv,0.207382387
h0368,offshore,offshore_a,avaConv,0.351729873
h0369,offshore,offshore_a,avaConv,0.451221251
h0370,offshore,offshore_a,avaConv,0.468015045
h0371,offshore,offshore_a,avaConv,0.522166143
h0372,offshore,offshore_a,avaConv,0.442048508
h0373,offshore,offshore_a,avaConv,0.38364937
h0374,offshore,offshore_a,avaConv,0.447543882
h0375,offshore,offshore_a,avaConv,0.529347612
h0376,offshore,offshore_a,avaConv,0.543143905
h0377,offshore,offshore_a,avaConv,0.543747485
h0378,offshore,offshore_a,avaConv,0.603110585
h0379,offshore,offshore_a,avaConv,0.684493637
h0380,offshore,offshore_a,avaConv,0.691823927
h0381,offshore,offshore_a,avaConv,0.733644945
h0382,offshore,offshore_a,avaConv,0.772327569
h0383,offshore,offshore_a,avaConv,0.811333404
h0384,offshore,offshore_a,avaConv,0.807472989
h0385,offshore,offshore_a,avaConv,0.781510481
h0386,offshore,offshore_a,avaConv,0.76793667
h0387,offshore,offshore_a,avaConv,0.703782499
h0388,offshore,offshore_a,avaConv,0.680155283
h0389,offshore,offshore_a,avaConv,0.658185516
h0390,offshore,offshore_a,avaConv,0.649728879
h0391,offshore,offshore_a,avaConv,0.59578255
h0392,offshore,offshore_a,avaConv,0.477223191
h0393,offshore,offshore_a,avaConv,0.339890287
h0394,offshore,offshore_a,avaConv,0.235793939
h0395,offshore,offshore_a,avaConv,0.110417044
h0396,offshore,offshore_a,avaConv,0.086102564
h0397,offshore,offshore_a,avaConv,0.162385836
h0398,offshore,offshore_a,avaConv,0.178749868
h0399,offshore,offshore_a,avaConv,0.195693143
h0400,offshore,offshore_a,avaConv,0.264129663
h0401,offshore,offshore_a,avaConv,0.239357526
h0402,offshore,offshore_a,avaConv,0.22742159
h0403,offshore,offshore_a,avaConv,0.230271314
h0404,offshore,offshore_a,avaConv,0.172440402
h0405,offshore,offshore_a,avaConv,0.150297102
h0406,offshore,offshore_a,avaConv,0.154064032
h0407,offshore,offshore_a,avaConv,0.157942363
h0408,offshore,offshore_a,avaConv,0.194436339
h0409,offshore,offshore_a,avaConv,0.232204823
h0410,offshore,offshore_a,avaConv,0.201233756
h0411,offshore,offshore_a,avaConv,0.225729742
h0412,offshore,offshore_a,avaConv,0.205615024
h0413,offshore,offshore_a,avaConv,0.198056811
h0414,offshore,offshore_a,avaConv,0.204250636
h0415,offshore,offshore_a,avaConv,0.256939643
h0416,offshore,offshore_a,avaConv,0.281305387
h0417,offshore,offshore_a,avaConv,0.342573604
h0418,offshore,offshore_a,avaConv,0.431536779
h0419,offshore,offshore_a,avaConv,0.480974407
h0420,offshore,offshore_a,avaConv,0.591398466
h0421,offshore,offshore_a,avaConv,0.659917924
h0422,offshore,offshore_a,avaConv,0.719957983
h0423,offshore,offshore_a,avaConv,0.700495828
h0424,offshore,offshore_a,avaConv,0.636505623
h0425,offshore,offshore_a,avaConv,0.604177462
h0426,offshore,offshore_a,avaConv,0.574126619
h0427,offshore,offshore_a,avaConv,0.604751568
h0428,offshore,offshore_a,avaConv,0.625978513
h0429,offshore,offshore_a,avaConv,0.669720905
h0430,offshore,offshore_a,avaConv,0.672063571
h0431,offshore,offshore_a,avaConv,0.674480298
h0432,offshore,offshore_a,avaConv,0.703858847
h0433,offshore,offshore_a,avaConv,0.741337816
h0434,offshore,offshore_a,avaConv,0.753288002
h0435,offshore,offshore_a,avaConv,0.780565393
h0436,offshore,offshore_a,avaConv,0.785648002
h0437,offshore,offshore_a,avaConv,0.81760601
h0438,offshore,offshore_a,avaConv,0.805611172
h0439,offshore,offshore_a,avaConv,0.761107324
h0440,offshore,offshore_a,avaConv,0.679767297
h0441,offshore,offshore_a,avaConv,0.527250487
h0442,offshore,offshore_a,avaConv,0.450562251
h0443,offshore,offshore_a,avaConv,0.384867366
h0444,offshore,offshore_a,avaConv,0.384360088
h0445,offshore,offshore_a,avaConv,0.433552801
h0446,offshore,offshore_a,avaConv,0.543747485
