technology_1,technology_2,region_2,parameter,value
P_Coal_Lignite,,GR,capaConvResi,0.955436427
P_Coal_Lignite,,PL,capaConvResi,3.246120352
P_Gas,,AT,capaConvResi,4.792036296
P_Gas,,NONEU_Balkan,capaConvResi,0.85319316
P_Gas,,EE,capaConvResi,0.000114569
P_Gas,,LT,capaConvResi,0.462126768
P_Gas,,LV,capaConvResi,1.57069694
P_Gas,,NL,capaConvResi,13.79953261
P_Gas,,BE,capaConvResi,3.865054991
P_Gas,,CZ,capaConvResi,0.363411466
P_Gas,,HU,capaConvResi,3.428322416
P_Gas,,SK,capaConvResi,0.813586799
P_Gas,,HR,capaConvResi,0.350136455
P_Gas,,SI,capaConvResi,0.121704638
P_Gas,,BG,capaConvResi,0.597282515
P_Gas,,RO,capaConvResi,2.19707912
P_Gas,,TR,capaConvResi,32.29754349
P_Gas,,FR,capaConvResi,6.706074649
P_Gas,,LU,capaConvResi,0.71470867
P_Gas,,IE,capaConvResi,4.015416013
P_Gas,,UK,capaConvResi,24.54194428
P_Gas,,GR,capaConvResi,6.975198063
P_Gas,,PT,capaConvResi,4.447275334
P_Gas,,ES,capaConvResi,44.83260741
P_Gas,,IT,capaConvResi,51.2780912
P_Gas,,PL,capaConvResi,8.276644509
P_Gas,,NO,capaConvResi,1.752437174
P_Gas,,FI,capaConvResi,0.271845659
P_Gas,,SE,capaConvResi,1.018323435
P_Gas,,DK,capaConvResi,0.23136808
P_Gas,,CH,capaConvResi,1.42E-06
photovoltaik,RES_PV_Utility_Avg,AT,capaConvResi,10.03213798
photovoltaik,RES_PV_Utility_Avg,NONEU_Balkan,capaConvResi,29.19570241
photovoltaik,RES_PV_Utility_Avg,EE,capaConvResi,3.89E-05
photovoltaik,RES_PV_Utility_Avg,LT,capaConvResi,9.9999993
photovoltaik,RES_PV_Utility_Avg,LV,capaConvResi,4.99E-05
photovoltaik,RES_PV_Utility_Avg,NL,capaConvResi,12.040026
photovoltaik,RES_PV_Utility_Avg,BE,capaConvResi,9.724883261
photovoltaik,RES_PV_Utility_Avg,CZ,capaConvResi,12.6602187
photovoltaik,RES_PV_Utility_Avg,HU,capaConvResi,7.775949816
photovoltaik,RES_PV_Utility_Avg,SK,capaConvResi,5.866235312
photovoltaik,RES_PV_Utility_Avg,HR,capaConvResi,3.884105091
photovoltaik,RES_PV_Utility_Avg,SI,capaConvResi,1.884472804
photovoltaik,RES_PV_Utility_Avg,BG,capaConvResi,5.622403603
photovoltaik,RES_PV_Utility_Avg,RO,capaConvResi,41.99999989
photovoltaik,RES_PV_Utility_Avg,TR,capaConvResi,146.9499699
photovoltaik,RES_PV_Utility_Avg,FR,capaConvResi,76.12678383
photovoltaik,RES_PV_Utility_Avg,LU,capaConvResi,0.714479154
photovoltaik,RES_PV_Utility_Avg,IE,capaConvResi,6.89E-07
photovoltaik,RES_PV_Utility_Avg,UK,capaConvResi,51.01627835
photovoltaik,RES_PV_Utility_Avg,GR,capaConvResi,25.99999996
photovoltaik,RES_PV_Utility_Avg,PT,capaConvResi,8.379640904
photovoltaik,RES_PV_Utility_Avg,ES,capaConvResi,78.99999996
photovoltaik,RES_PV_Utility_Avg,IT,capaConvResi,49.39990623
photovoltaik,RES_PV_Utility_Avg,PL,capaConvResi,49.99999989
photovoltaik,RES_PV_Utility_Avg,NO,capaConvResi,2.51E-07
photovoltaik,RES_PV_Utility_Avg,FI,capaConvResi,0.013006201
photovoltaik,RES_PV_Utility_Avg,SE,capaConvResi,3.92E-05
photovoltaik,RES_PV_Utility_Avg,DK,capaConvResi,5.80833259
photovoltaik,RES_PV_Utility_Avg,CH,capaConvResi,6.23333332
photovoltaik,RES_PV_Utility_Inf,AT,capaConvResi,10.03213489
photovoltaik,RES_PV_Utility_Inf,NONEU_Balkan,capaConvResi,29.19548298
photovoltaik,RES_PV_Utility_Inf,EE,capaConvResi,1.18E-07
photovoltaik,RES_PV_Utility_Inf,LT,capaConvResi,8.97E-08
photovoltaik,RES_PV_Utility_Inf,LV,capaConvResi,9.77E-07
photovoltaik,RES_PV_Utility_Inf,NL,capaConvResi,12.04002481
photovoltaik,RES_PV_Utility_Inf,BE,capaConvResi,0.001466933
photovoltaik,RES_PV_Utility_Inf,CZ,capaConvResi,6.48E-05
photovoltaik,RES_PV_Utility_Inf,HU,capaConvResi,1.48E-05
photovoltaik,RES_PV_Utility_Inf,SK,capaConvResi,4.357020057
photovoltaik,RES_PV_Utility_Inf,HR,capaConvResi,0.000995958
photovoltaik,RES_PV_Utility_Inf,SI,capaConvResi,3.10E-06
photovoltaik,RES_PV_Utility_Inf,BG,capaConvResi,5.622016075
photovoltaik,RES_PV_Utility_Inf,RO,capaConvResi,2.34E-05
photovoltaik,RES_PV_Utility_Inf,TR,capaConvResi,0.000149462
photovoltaik,RES_PV_Utility_Inf,FR,capaConvResi,76.12678371
photovoltaik,RES_PV_Utility_Inf,LU,capaConvResi,0.714478814
photovoltaik,RES_PV_Utility_Inf,IE,capaConvResi,6.87E-07
