timestep_superordinate_expansion,timestep_superordinate_dispatch,timestep_dispatch,region_dispatch,carrier,technology,M,scr,variable
none,2050,2050 < d142,DE,gas < hydrogen,gasStorage,none,none,33922.33386516672
none,2050,2050 < d143,DE,gas < hydrogen,gasStorage,none,none,34505.29202984177
none,2050,2050 < d144,DE,gas < hydrogen,gasStorage,none,none,35085.04967009034
none,2050,2050 < d145,DE,gas < hydrogen,gasStorage,none,none,35085.046226584076
none,2050,2050 < d146,DE,gas < hydrogen,gasStorage,none,none,35085.039790090705
none,2050,2050 < d147,DE,gas < hydrogen,gasStorage,none,none,34929.73649785365
none,2050,2050 < d148,DE,gas < hydrogen,gasStorage,none,none,34929.73604017927
none,2050,2050 < d149,DE,gas < hydrogen,gasStorage,none,none,35175.00294004037
none,2050,2050 < d150,DE,gas < hydrogen,gasStorage,none,none,36369.98867292251
none,2050,2050 < d151,DE,gas < hydrogen,gasStorage,none,none,37275.972614793485
none,2050,2050 < d152,DE,gas < hydrogen,gasStorage,none,none,38084.14219395347
none,2050,2050 < d153,DE,gas < hydrogen,gasStorage,none,none,38924.49264443935
none,2050,2050 < d154,DE,gas < hydrogen,gasStorage,none,none,39723.7020873955
none,2050,2050 < d155,DE,gas < hydrogen,gasStorage,none,none,39972.504078211656
none,2050,2050 < d156,DE,gas < hydrogen,gasStorage,none,none,39972.50112212911
none,2050,2050 < d157,DE,gas < hydrogen,gasStorage,none,none,40262.47123145252
none,2050,2050 < d158,DE,gas < hydrogen,gasStorage,none,none,40262.47800268592
none,2050,2050 < d159,DE,gas < hydrogen,gasStorage,none,none,40594.30735486632
none,2050,2050 < d160,DE,gas < hydrogen,gasStorage,none,none,41637.57714446811
none,2050,2050 < d161,DE,gas < hydrogen,gasStorage,none,none,42259.69853406029
none,2050,2050 < d162,DE,gas < hydrogen,gasStorage,none,none,42291.90789762879
none,2050,2050 < d163,DE,gas < hydrogen,gasStorage,none,none,42291.90331647418
none,2050,2050 < d164,DE,gas < hydrogen,gasStorage,none,none,42980.12773367624
none,2050,2050 < d165,DE,gas < hydrogen,gasStorage,none,none,43766.14812066882
none,2050,2050 < d166,DE,gas < hydrogen,gasStorage,none,none,43920.41703621879
none,2050,2050 < d167,DE,gas < hydrogen,gasStorage,none,none,43848.006638180974
none,2050,2050 < d168,DE,gas < hydrogen,gasStorage,none,none,43944.26130076528
none,2050,2050 < d169,DE,gas < hydrogen,gasStorage,none,none,43994.372621053284
none,2050,2050 < d170,DE,gas < hydrogen,gasStorage,none,none,44571.445897112244
none,2050,2050 < d171,DE,gas < hydrogen,gasStorage,none,none,45332.136237229606
none,2050,2050 < d172,DE,gas < hydrogen,gasStorage,none,none,46324.93127764931
none,2050,2050 < d173,DE,gas < hydrogen,gasStorage,none,none,46679.41327988417
none,2050,2050 < d174,DE,gas < hydrogen,gasStorage,none,none,47621.390874777026
none,2050,2050 < d175,DE,gas < hydrogen,gasStorage,none,none,48216.730464083776
none,2050,2050 < d176,DE,gas < hydrogen,gasStorage,none,none,48428.564401025855
none,2050,2050 < d177,DE,gas < hydrogen,gasStorage,none,none,48805.657355580326
none,2050,2050 < d178,DE,gas < hydrogen,gasStorage,none,none,49362.12572222708
none,2050,2050 < d179,DE,gas < hydrogen,gasStorage,none,none,50134.4695884739
none,2050,2050 < d180,DE,gas < hydrogen,gasStorage,none,none,50915.955037692474
none,2050,2050 < d181,DE,gas < hydrogen,gasStorage,none,none,51867.15808029893
none,2050,2050 < d182,DE,gas < hydrogen,gasStorage,none,none,53037.2883169323
none,2050,2050 < d183,DE,gas < hydrogen,gasStorage,none,none,54223.625293434416
none,2050,2050 < d184,DE,gas < hydrogen,gasStorage,none,none,55385.2788738853
none,2050,2050 < d185,DE,gas < hydrogen,gasStorage,none,none,56160.15216566682
none,2050,2050 < d186,DE,gas < hydrogen,gasStorage,none,none,57398.65858917641
none,2050,2050 < d187,DE,gas < hydrogen,gasStorage,none,none,58637.17194114635
none,2050,2050 < d188,DE,gas < hydrogen,gasStorage,none,none,59552.535424696885
none,2050,2050 < d189,DE,gas < hydrogen,gasStorage,none,none,60535.16098987899
none,2050,2050 < d190,DE,gas < hydrogen,gasStorage,none,none,61444.10424070205
none,2050,2050 < d191,DE,gas < hydrogen,gasStorage,none,none,62417.26639889205
none,2050,2050 < d192,DE,gas < hydrogen,gasStorage,none,none,63557.3822448484
none,2050,2050 < d193,DE,gas < hydrogen,gasStorage,none,none,64599.92497591801
none,2050,2050 < d194,DE,gas < hydrogen,gasStorage,none,none,65232.1971613852
none,2050,2050 < d195,DE,gas < hydrogen,gasStorage,none,none,66457.49315191862
none,2050,2050 < d196,DE,gas < hydrogen,gasStorage,none,none,67632.66164107177
none,2050,2050 < d197,DE,gas < hydrogen,gasStorage,none,none,68431.35945890596
none,2050,2050 < d198,DE,gas < hydrogen,gasStorage,none,none,69301.0286743232
none,2050,2050 < d199,DE,gas < hydrogen,gasStorage,none,none,69858.7987469142
none,2050,2050 < d200,DE,gas < hydrogen,gasStorage,none,none,70345.19894369328
none,2050,2050 < d201,DE,gas < hydrogen,gasStorage,none,none,70988.19815831624
none,2050,2050 < d202,DE,gas < hydrogen,gasStorage,none,none,71568.62074590381
none,2050,2050 < d203,DE,gas < hydrogen,gasStorage,none,none,71568.62594893367
none,2050,2050 < d204,DE,gas < hydrogen,gasStorage,none,none,71549.45474918756
none,2050,2050 < d205,DE,gas < hydrogen,gasStorage,none,none,71396.30607712001
none,2050,2050 < d206,DE,gas < hydrogen,gasStorage,none,none,71148.19730325374
none,2050,2050 < d207,DE,gas < hydrogen,gasStorage,none,none,71148.17331844395
none,2050,2050 < d208,DE,gas < hydrogen,gasStorage,none,none,71148.17259216691
none,2050,2050 < d209,DE,gas < hydrogen,gasStorage,none,none,71535.45210051899
none,2050,2050 < d210,DE,gas < hydrogen,gasStorage,none,none,71953.23654192493
none,2050,2050 < d211,DE,gas < hydrogen,gasStorage,none,none,72493.99832615441
none,2050,2050 < d212,DE,gas < hydrogen,gasStorage,none,none,72772.82970672849
none,2050,2050 < d213,DE,gas < hydrogen,gasStorage,none,none,73287.76400663985
none,2050,2050 < d214,DE,gas < hydrogen,gasStorage,none,none,74138.38978232222
none,2050,2050 < d215,DE,gas < hydrogen,gasStorage,none,none,75035.08224680583
none,2050,2050 < d216,DE,gas < hydrogen,gasStorage,none,none,76191.40241771596
none,2050,2050 < d217,DE,gas < hydrogen,gasStorage,none,none,77178.91019669738
none,2050,2050 < d218,DE,gas < hydrogen,gasStorage,none,none,77958.06450860588
none,2050,2050 < d219,DE,gas < hydrogen,gasStorage,none,none,78688.5751762436
none,2050,2050 < d220,DE,gas < hydrogen,gasStorage,none,none,79802.16670251348
none,2050,2050 < d221,DE,gas < hydrogen,gasStorage,none,none,80741.23473061957
none,2050,2050 < d222,DE,gas < hydrogen,gasStorage,none,none,81782.38725499193
none,2050,2050 < d223,DE,gas < hydrogen,gasStorage,none,none,83020.95037573586
none,2050,2050 < d224,DE,gas < hydrogen,gasStorage,none,none,83841.43830885661
none,2050,2050 < d225,DE,gas < hydrogen,gasStorage,none,none,84784.09867611942
none,2050,2050 < d226,DE,gas < hydrogen,gasStorage,none,none,85513.39066878313
none,2050,2050 < d227,DE,gas < hydrogen,gasStorage,none,none,85925.3308919588
none,2050,2050 < d228,DE,gas < hydrogen,gasStorage,none,none,86296.30841950788
none,2050,2050 < d229,DE,gas < hydrogen,gasStorage,none,none,86442.39861753164
none,2050,2050 < d230,DE,gas < hydrogen,gasStorage,none,none,86442.42929223746
none,2050,2050 < d231,DE,gas < hydrogen,gasStorage,none,none,86498.49024686382
none,2050,2050 < d232,DE,gas < hydrogen,gasStorage,none,none,86580.67467561603
none,2050,2050 < d233,DE,gas < hydrogen,gasStorage,none,none,87578.58194193497
none,2050,2050 < d234,DE,gas < hydrogen,gasStorage,none,none,88493.0923459882
none,2050,2050 < d235,DE,gas < hydrogen,gasStorage,none,none,89028.3711479571
none,2050,2050 < d236,DE,gas < hydrogen,gasStorage,none,none,89110.29649541358
none,2050,2050 < d237,DE,gas < hydrogen,gasStorage,none,none,89918.4260755898
none,2050,2050 < d238,DE,gas < hydrogen,gasStorage,none,none,90352.51810634503
none,2050,2050 < d239,DE,gas < hydrogen,gasStorage,none,none,90502.87731779472
none,2050,2050 < d240,DE,gas < hydrogen,gasStorage,none,none,90773.62406786534
none,2050,2050 < d241,DE,gas < hydrogen,gasStorage,none,none,91725.61998013196
none,2050,2050 < d242,DE,gas < hydrogen,gasStorage,none,none,92367.26872434806
none,2050,2050 < d243,DE,gas < hydrogen,gasStorage,none,none,93039.21437516749
none,2050,2050 < d244,DE,gas < hydrogen,gasStorage,none,none,93294.52413246121
none,2050,2050 < d245,DE,gas < hydrogen,gasStorage,none,none,93430.70900484675
none,2050,2050 < d246,DE,gas < hydrogen,gasStorage,none,none,93975.73528321108
none,2050,2050 < d247,DE,gas < hydrogen,gasStorage,none,none,94578.8187840824
none,2050,2050 < d248,DE,gas < hydrogen,gasStorage,none,none,95077.81590830968
none,2050,2050 < d249,DE,gas < hydrogen,gasStorage,none,none,95077.7891368974
none,2050,2050 < d250,DE,gas < hydrogen,gasStorage,none,none,95472.70542557504
none,2050,2050 < d251,DE,gas < hydrogen,gasStorage,none,none,95472.75974037957
none,2050,2050 < d252,DE,gas < hydrogen,gasStorage,none,none,95472.73648911691
none,2050,2050 < d253,DE,gas < hydrogen,gasStorage,none,none,95472.78526091638
none,2050,2050 < d254,DE,gas < hydrogen,gasStorage,none,none,95472.73747077152
none,2050,2050 < d255,DE,gas < hydrogen,gasStorage,none,none,95472.72297595158
none,2050,2050 < d256,DE,gas < hydrogen,gasStorage,none,none,95572.37387673538
none,2050,2050 < d257,DE,gas < hydrogen,gasStorage,none,none,96640.42041004999
none,2050,2050 < d258,DE,gas < hydrogen,gasStorage,none,none,97369.83344185243
none,2050,2050 < d259,DE,gas < hydrogen,gasStorage,none,none,97565.47595089207
none,2050,2050 < d260,DE,gas < hydrogen,gasStorage,none,none,97626.28983264731
none,2050,2050 < d261,DE,gas < hydrogen,gasStorage,none,none,98098.09945325046
none,2050,2050 < d262,DE,gas < hydrogen,gasStorage,none,none,98098.024309378
none,2050,2050 < d263,DE,gas < hydrogen,gasStorage,none,none,97567.69184040098
none,2050,2050 < d264,DE,gas < hydrogen,gasStorage,none,none,97302.73400929391
none,2050,2050 < d265,DE,gas < hydrogen,gasStorage,none,none,96992.3579092202
none,2050,2050 < d266,DE,gas < hydrogen,gasStorage,none,none,96980.14094812855
none,2050,2050 < d267,DE,gas < hydrogen,gasStorage,none,none,96980.11690335209
none,2050,2050 < d268,DE,gas < hydrogen,gasStorage,none,none,97112.75345159326
none,2050,2050 < d269,DE,gas < hydrogen,gasStorage,none,none,97112.74059330641
none,2050,2050 < d270,DE,gas < hydrogen,gasStorage,none,none,96630.26436822535
