region_2,technology_1,technology_2,parameter,value
DE93,wind_onshore,onshore_b,capaConvUp,4.115553377
DEA2,wind_onshore,onshore_a,capaConvUp,3.138353231
DEA2,wind_onshore,onshore_b,capaConvUp,1.393644646
DEB1,wind_onshore,onshore_a,capaConvUp,2.438475773
DEB1,wind_onshore,onshore_b,capaConvUp,2.046828654
DEC0_,wind_onshore,onshore_a,capaConvUp,0.873817068
DEC0_,wind_onshore,onshore_b,capaConvUp,0.51835272
DEA3,wind_onshore,onshore_a,capaConvUp,5.248992105
DEA3,wind_onshore,onshore_b,capaConvUp,0.460798365
DEB2,wind_onshore,onshore_a,capaConvUp,1.042075834
DEB2,wind_onshore,onshore_b,capaConvUp,2.08336795
DE21,wind_onshore,onshore_a,capaConvUp,7.41566549
DE21,wind_onshore,onshore_b,capaConvUp,1.935720705
DE22,wind_onshore,onshore_a,capaConvUp,2.497957442
DE22,wind_onshore,onshore_b,capaConvUp,6.562530399
DE23,wind_onshore,onshore_a,capaConvUp,2.364453003
DE23,wind_onshore,onshore_b,capaConvUp,3.230921525
DE25,wind_onshore,onshore_a,capaConvUp,2.211796772
DE25,wind_onshore,onshore_b,capaConvUp,1.832439537
DE26,wind_onshore,onshore_a,capaConvUp,3.638138153
DE26,wind_onshore,onshore_b,capaConvUp,2.869385473
DE40,wind_onshore,onshore_a,capaConvUp,6.338872507
DE40,wind_onshore,onshore_b,capaConvUp,12.50933381
DE50,wind_onshore,onshore_a,capaConvUp,0.184248327
DE50,wind_onshore,onshore_b,capaConvUp,0.184248327
DE60,wind_onshore,onshore_a,capaConvUp,0.148658908
DE60,wind_onshore,onshore_b,capaConvUp,0.044393937
DE71,wind_onshore,onshore_a,capaConvUp,2.570547193
DE71,wind_onshore,onshore_b,capaConvUp,1.199524385
DE72,wind_onshore,onshore_a,capaConvUp,1.792908253
DE72,wind_onshore,onshore_b,capaConvUp,0.890225267
DE73,wind_onshore,onshore_a,capaConvUp,4.194833355
DE73,wind_onshore,onshore_b,capaConvUp,1.164663227
DE80,wind_onshore,onshore_a,capaConvUp,12.95631594
DE80,wind_onshore,onshore_b,capaConvUp,4.105130554
DE91,wind_onshore,onshore_a,capaConvUp,2.180897879
DE91,wind_onshore,onshore_b,capaConvUp,0.889478114
DE13,wind_onshore,onshore_a,capaConvUp,2.520006322
DE13,wind_onshore,onshore_b,capaConvUp,2.724648358
DE24,wind_onshore,onshore_a,capaConvUp,2.909037495
DE24,wind_onshore,onshore_b,capaConvUp,1.664063094
DE27,wind_onshore,onshore_a,capaConvUp,0.265760772
DE27,wind_onshore,onshore_b,capaConvUp,7.619181261
DE14,wind_onshore,onshore_a,capaConvUp,2.239331001
DE14,wind_onshore,onshore_b,capaConvUp,3.081475917
DE30,wind_onshore,onshore_a,capaConvUp,0.033879243
DE30,wind_onshore,onshore_b,capaConvUp,0.031828604
DE11,wind_offshore,offshore_a,capaConvUp,0
DE12,wind_offshore,offshore_a,capaConvUp,0
DE94,wind_offshore,offshore_a,capaConvUp,4.945652174
DEA1,wind_offshore,offshore_a,capaConvUp,0
DEA4,wind_offshore,offshore_a,capaConvUp,0
DEA5,wind_offshore,offshore_a,capaConvUp,0
DEB3,wind_offshore,offshore_a,capaConvUp,0
DED2,wind_offshore,offshore_a,capaConvUp,0
DED4,wind_offshore,offshore_a,capaConvUp,0
DED5,wind_offshore,offshore_a,capaConvUp,0
