region_expansion,technology,constraint
DE < DE22,openspace < openspace_a,"100 capaConv[none, 2050, DE22, openspace_a] == 0.3725749909946614"
DE < DE23,openspace < openspace_a,"100 capaConv[none, 2050, DE23, openspace_a] == 1.2069943299932326"
DE < DE24,openspace < openspace_a,"100 capaConv[none, 2050, DE24, openspace_a] == 1.4059566149918787"
DE < DE25,openspace < openspace_a,"100 capaConv[none, 2050, DE25, openspace_a] == 1.1569091029926362"
DE < DE26,openspace < openspace_a,"100 capaConv[none, 2050, DE26, openspace_a] == 0.7331713869922739"
DE < DE27,openspace < openspace_a,"100 capaConv[none, 2050, DE27, openspace_a] == 3.2159095759964216"
DE < DE30,openspace < openspace_a,"100 capaConv[none, 2050, DE30, openspace_a] == 0.015011284997644734"
DE < DE40,openspace < openspace_a,"100 capaConv[none, 2050, DE40, openspace_a] == 5.426824319996923"
DE < DE50,openspace < openspace_a,"100 capaConv[none, 2050, DE50, openspace_a] == 0.011790761996744812"
DE < DE60,openspace < openspace_a,"100 capaConv[none, 2050, DE60, openspace_a] == 0.040335976997410816"
DE < DE71,openspace < openspace_a,"100 capaConv[none, 2050, DE71, openspace_a] == 0.9990073529922814"
DE < DE72,openspace < openspace_a,"100 capaConv[none, 2050, DE72, openspace_a] == 0.31611661899192184"
DE < DE73,openspace < openspace_a,"100 capaConv[none, 2050, DE73, openspace_a] == 0.9262486419932082"
DE < DE80,openspace < openspace_a,"100 capaConv[none, 2050, DE80, openspace_a] == 3.5612536929981093"
DE < DE91,openspace < openspace_a,"100 capaConv[none, 2050, DE91, openspace_a] == 0.7939202919935018"
DE < DE92,openspace < openspace_a,"100 capaConv[none, 2050, DE92, openspace_a] == 4.70080212699778"
DE < DE93,openspace < openspace_a,"100 capaConv[none, 2050, DE93, openspace_a] == 3.708168100997944"
DE < DE94,openspace < openspace_a,"100 capaConv[none, 2050, DE94, openspace_a] == 4.275949499997504"
DE < DEA1,openspace < openspace_a,"100 capaConv[none, 2050, DEA1, openspace_a] == 0.953520051996615"
DE < DEA2,openspace < openspace_a,"100 capaConv[none, 2050, DEA2, openspace_a] == 1.3305864169940647"
DE < DEA3,openspace < openspace_a,"100 capaConv[none, 2050, DEA3, openspace_a] == 0.3868974089982686"
DE < DEA4,openspace < openspace_a,"100 capaConv[none, 2050, DEA4, openspace_a] == 2.0539711419934963"
DE < DEA5,openspace < openspace_a,"100 capaConv[none, 2050, DEA5, openspace_a] == 0.45095091999900444"
DE < DEB1,openspace < openspace_a,"100 capaConv[none, 2050, DEB1, openspace_a] == 1.0746468269929152"
DE < DEB2,openspace < openspace_a,"100 capaConv[none, 2050, DEB2, openspace_a] == 0.5585740009984616"
DE < DEB3,openspace < openspace_a,"100 capaConv[none, 2050, DEB3, openspace_a] == 0.513744157992845"
DE < DEC0_,openspace < openspace_a,"100 capaConv[none, 2050, DEC0_, openspace_a] == 0.3126190059945681"
DE < DED2,openspace < openspace_a,"100 capaConv[none, 2050, DED2, openspace_a] == 0.7759003899922068"
DE < DED4,openspace < openspace_a,"100 capaConv[none, 2050, DED4, openspace_a] == 1.0874763619917969"
DE < DED5,openspace < openspace_a,"100 capaConv[none, 2050, DED5, openspace_a] == 0.7975185839917501"
DE < DEE0,openspace < openspace_a,"100 capaConv[none, 2050, DEE0, openspace_a] == 6.216311493990945"
DE < DEF0,openspace < openspace_a,"100 capaConv[none, 2050, DEF0, openspace_a] == 4.069915999997861"
DE < DEG0,openspace < openspace_a,"100 capaConv[none, 2050, DEG0, openspace_a] == 0.9879297389905448"
DE < DE11,wind_onshore < onshore_a,"100 capaConv[none, 2050, DE11, onshore_a] == 2.606172084496898"
DE < DE12,wind_onshore < onshore_a,"100 capaConv[none, 2050, DE12, onshore_a] == 1.823071733496122"
DE < DE13,wind_onshore < onshore_a,"100 capaConv[none, 2050, DE13, onshore_a] == 2.221304876486199"
DE < DE14,wind_onshore < onshore_a,"100 capaConv[none, 2050, DE14, onshore_a] == 1.9738985694902738"
DE < DE21,wind_onshore < onshore_a,"100 capaConv[none, 2050, DE21, onshore_a] == 6.536671663484735"
DE < DE22,wind_onshore < onshore_a,"100 capaConv[none, 2050, DE22, onshore_a] == 2.201869495495269"
DE < DE23,wind_onshore < onshore_a,"100 capaConv[none, 2050, DE23, onshore_a] == 2.0841896074973225"
DE < DE24,wind_onshore < onshore_a,"100 capaConv[none, 2050, DE24, onshore_a] == 2.5642233984936436"
DE < DE25,wind_onshore < onshore_a,"100 capaConv[none, 2050, DE25, onshore_a] == 1.949628028497859"
DE < DE26,wind_onshore < onshore_a,"100 capaConv[none, 2050, DE26, onshore_a] == 3.2069022804974887"
DE < DE27,wind_onshore < onshore_a,"100 capaConv[none, 2050, DE27, onshore_a] == 0.23425961049436503"
DE < DE30,wind_onshore < onshore_a,"100 capaConv[none, 2050, DE30, onshore_a] == 0.029863468496270855"
DE < DE40,wind_onshore < onshore_a,"100 capaConv[none, 2050, DE40, onshore_a] == 5.587513130497411"
DE < DE50,wind_onshore < onshore_a,"100 capaConv[none, 2050, DE50, onshore_a] == 0.162409"
DE < DE60,wind_onshore < onshore_a,"100 capaConv[none, 2050, DE60, onshore_a] == 0.1310380674991676"
DE < DE71,wind_onshore < onshore_a,"100 capaConv[none, 2050, DE71, onshore_a] == 2.265855036492469"
DE < DE72,wind_onshore < onshore_a,"100 capaConv[none, 2050, DE72, onshore_a] == 1.5803912124981618"
DE < DE73,wind_onshore < onshore_a,"100 capaConv[none, 2050, DE73, onshore_a] == 3.697611274498808"
DE < DE80,wind_onshore < onshore_a,"100 capaConv[none, 2050, DE80, onshore_a] == 11.420577610498624"
DE < DE91,wind_onshore < onshore_a,"100 capaConv[none, 2050, DE91, onshore_a] == 1.9223916434983859"
DE < DE92,wind_onshore < onshore_a,"100 capaConv[none, 2050, DE92, onshore_a] == 5.429526486497791"
DE < DE93,wind_onshore < onshore_a,"100 capaConv[none, 2050, DE93, onshore_a] == 5.863176683500031"
DE < DE94,wind_onshore < onshore_a,"100 capaConv[none, 2050, DE94, onshore_a] == 4.48799942449912"
DE < DEA1,wind_onshore < onshore_a,"100 capaConv[none, 2050, DEA1, onshore_a] == 0.384526041"
DE < DEA2,wind_onshore < onshore_a,"100 capaConv[none, 2050, DEA2, onshore_a] == 2.7663578764995322"
DE < DEA3,wind_onshore < onshore_a,"100 capaConv[none, 2050, DEA3, onshore_a] == 4.6268184565002315"
DE < DEA4,wind_onshore < onshore_a,"100 capaConv[none, 2050, DEA4, onshore_a] == 1.2910142"
DE < DEA5,wind_onshore < onshore_a,"100 capaConv[none, 2050, DEA5, onshore_a] == 0.7459302774961297"
DE < DEB1,wind_onshore < onshore_a,"100 capaConv[none, 2050, DEB1, onshore_a] == 2.149438308498661"
DE < DEB2,wind_onshore < onshore_a,"100 capaConv[none, 2050, DEB2, onshore_a] == 0.9185564784952842"
DE < DEB3,wind_onshore < onshore_a,"100 capaConv[none, 2050, DEB3, onshore_a] == 2.025863802497326"
