region_2,technology_1,technology_2,technology_3,parameter,value
DE72,wind_offshore,offshore,offshore_c,capaConvUp,0
DE73,wind_offshore,offshore,offshore_c,capaConvUp,0
DE80,wind_offshore,offshore,offshore_c,capaConvUp,2.4
DE91,wind_offshore,offshore,offshore_c,capaConvUp,0
DE13,wind_offshore,offshore,offshore_c,capaConvUp,0
DE24,wind_offshore,offshore,offshore_c,capaConvUp,0
DE27,wind_offshore,offshore,offshore_c,capaConvUp,0
DE14,wind_offshore,offshore,offshore_c,capaConvUp,0
DE30,wind_offshore,offshore,offshore_c,capaConvUp,0
DE11,wind_offshore,offshore,offshore_b,capaConvUp,0
DE11,wind_offshore,offshore,offshore_c,capaConvUp,0
DE11,pv,agrar_pv,,capaConvUp,0
DE12,pv,agrar_pv,,capaConvUp,0
DE13,pv,agrar_pv,,capaConvUp,0
DE14,pv,agrar_pv,,capaConvUp,0
DE21,pv,agrar_pv,,capaConvUp,0
DE22,pv,agrar_pv,,capaConvUp,0
DE23,pv,agrar_pv,,capaConvUp,0
DE24,pv,agrar_pv,,capaConvUp,0
DE25,pv,agrar_pv,,capaConvUp,0
DE26,pv,agrar_pv,,capaConvUp,0
DE27,pv,agrar_pv,,capaConvUp,0
DE40,pv,agrar_pv,,capaConvUp,0
DE60,pv,agrar_pv,,capaConvUp,0
DE71,pv,agrar_pv,,capaConvUp,0
DE72,pv,agrar_pv,,capaConvUp,0
DE73,pv,agrar_pv,,capaConvUp,0
DE80,pv,agrar_pv,,capaConvUp,0
DE91,pv,agrar_pv,,capaConvUp,0
DE92,pv,agrar_pv,,capaConvUp,0
DE93,pv,agrar_pv,,capaConvUp,0
DE94,pv,agrar_pv,,capaConvUp,0
DEA1,pv,agrar_pv,,capaConvUp,0
DEA2,pv,agrar_pv,,capaConvUp,0
DEA3,pv,agrar_pv,,capaConvUp,0
DEA4,pv,agrar_pv,,capaConvUp,0
DEA5,pv,agrar_pv,,capaConvUp,0
DEB1,pv,agrar_pv,,capaConvUp,0
DEB2,pv,agrar_pv,,capaConvUp,0
DEB3,pv,agrar_pv,,capaConvUp,0
DEC0_,pv,agrar_pv,,capaConvUp,0
DED2,pv,agrar_pv,,capaConvUp,0
DED4,pv,agrar_pv,,capaConvUp,0
DED5,pv,agrar_pv,,capaConvUp,0
DEE0,pv,agrar_pv,,capaConvUp,0
DEF0,pv,agrar_pv,,capaConvUp,0
DEG0,pv,agrar_pv,,capaConvUp,0
DE50,pv,agrar_pv,,capaConvUp,0
DE30,pv,agrar_pv,,capaConvUp,0
