region_1,region_2,carrier_1,carrier_2,parameter,timestep_2,value
NONEU_Balkan,NONEU_Balkan,electricity,electricity_central,dem,d008,6.023148478375002
TR,TR,electricity,electricity_central,dem,d008,31.459588152499993
AT,AT,electricity,electricity_central,dem,d009,4.919259201750001
BE,BE,electricity,electricity_central,dem,d009,5.855335282916667
BG,BG,electricity,electricity_central,dem,d009,4.91176227775
CH,CH,electricity,electricity_central,dem,d009,10.550335209291665
CZ,CZ,electricity,electricity_central,dem,d009,5.749373765041668
DK,DK,electricity,electricity_central,dem,d009,4.6630416345
ES,ES,electricity,electricity_central,dem,d009,31.059522632916668
FI,FI,electricity,electricity_central,dem,d009,2.5286111255416666
FR,FR,electricity,electricity_central,dem,d009,70.340914905
GR,GR,electricity,electricity_central,dem,d009,7.829271750875002
HR,HR,electricity,electricity_central,dem,d009,2.275407603666667
HU,HU,electricity,electricity_central,dem,d009,3.69151570825
IE,IE,electricity,electricity_central,dem,d009,2.908803426833334
IT,IT,electricity,electricity_central,dem,d009,15.527453141666664
LU,LU,electricity,electricity_central,dem,d009,0.8498642931666666
NL,NL,electricity,electricity_central,dem,d009,8.522980512999998
NO,NO,electricity,electricity_central,dem,d009,13.610091130833332
PL,PL,electricity,electricity_central,dem,d009,18.093685579166664
PT,PT,electricity,electricity_central,dem,d009,5.538809027666666
RO,RO,electricity,electricity_central,dem,d009,6.571157709125
SE,SE,electricity,electricity_central,dem,d009,15.110596114166668
SI,SI,electricity,electricity_central,dem,d009,1.0091879687499998
SK,SK,electricity,electricity_central,dem,d009,2.240545934416667
UK,UK,electricity,electricity_central,dem,d009,36.811021345
EE,EE,electricity,electricity_central,dem,d009,0.9043959827500002
LT,LT,electricity,electricity_central,dem,d009,0.5553693885416667
LV,LV,electricity,electricity_central,dem,d009,0.7851378227083332
NONEU_Balkan,NONEU_Balkan,electricity,electricity_central,dem,d009,6.057072023791665
TR,TR,electricity,electricity_central,dem,d009,32.039998412500005
AT,AT,electricity,electricity_central,dem,d010,4.964734951666666
BE,BE,electricity,electricity_central,dem,d010,5.8104409952500005
BG,BG,electricity,electricity_central,dem,d010,4.827203576583333
CH,CH,electricity,electricity_central,dem,d010,10.714443028041666
CZ,CZ,electricity,electricity_central,dem,d010,5.723514256083333
DK,DK,electricity,electricity_central,dem,d010,5.030860678541666
ES,ES,electricity,electricity_central,dem,d010,30.702796924166666
FI,FI,electricity,electricity_central,dem,d010,2.5777053870416666
FR,FR,electricity,electricity_central,dem,d010,68.98498823416666
GR,GR,electricity,electricity_central,dem,d010,7.688528646708334
HR,HR,electricity,electricity_central,dem,d010,2.2910305476666664
HU,HU,electricity,electricity_central,dem,d010,3.690690084750001
IE,IE,electricity,electricity_central,dem,d010,2.9094264382916677
IT,IT,electricity,electricity_central,dem,d010,15.597811130000002
LU,LU,electricity,electricity_central,dem,d010,0.7959616952916669
NL,NL,electricity,electricity_central,dem,d010,8.453520599833332
NO,NO,electricity,electricity_central,dem,d010,13.965676142916664
PL,PL,electricity,electricity_central,dem,d010,18.096335560416666
PT,PT,electricity,electricity_central,dem,d010,5.439444073666667
RO,RO,electricity,electricity_central,dem,d010,6.646101782916667
SE,SE,electricity,electricity_central,dem,d010,15.800949169583333
SI,SI,electricity,electricity_central,dem,d010,1.0159954787916667
SK,SK,electricity,electricity_central,dem,d010,2.241668107375
UK,UK,electricity,electricity_central,dem,d010,38.52578645875
EE,EE,electricity,electricity_central,dem,d010,0.9078143957916667
LT,LT,electricity,electricity_central,dem,d010,0.5660565466666666
LV,LV,electricity,electricity_central,dem,d010,0.7952111505
NONEU_Balkan,NONEU_Balkan,electricity,electricity_central,dem,d010,6.1223304880833345
TR,TR,electricity,electricity_central,dem,d010,31.46403056041666
AT,AT,electricity,electricity_central,dem,d011,4.960285003041667
BE,BE,electricity,electricity_central,dem,d011,5.913903512874999
BG,BG,electricity,electricity_central,dem,d011,4.740706772791667
CH,CH,electricity,electricity_central,dem,d011,10.749848214791669
CZ,CZ,electricity,electricity_central,dem,d011,5.740183078708334
DK,DK,electricity,electricity_central,dem,d011,4.752394565666667
ES,ES,electricity,electricity_central,dem,d011,30.148211368333335
FI,FI,electricity,electricity_central,dem,d011,2.687223355291667
FR,FR,electricity,electricity_central,dem,d011,67.52652970083334
GR,GR,electricity,electricity_central,dem,d011,7.320670915416667
HR,HR,electricity,electricity_central,dem,d011,2.2234329493333336
HU,HU,electricity,electricity_central,dem,d011,3.5849491151666673
IE,IE,electricity,electricity_central,dem,d011,2.9008508699999997
IT,IT,electricity,electricity_central,dem,d011,15.581421934583338
LU,LU,electricity,electricity_central,dem,d011,0.8734466798749999
NL,NL,electricity,electricity_central,dem,d011,8.496053002458332
NO,NO,electricity,electricity_central,dem,d011,14.508041180416667
PL,PL,electricity,electricity_central,dem,d011,18.037679974583334
PT,PT,electricity,electricity_central,dem,d011,5.402722242833334
RO,RO,electricity,electricity_central,dem,d011,6.468804421958332
SE,SE,electricity,electricity_central,dem,d011,15.947996114583335
SI,SI,electricity,electricity_central,dem,d011,0.9966143959583332
SK,SK,electricity,electricity_central,dem,d011,2.2465138544583336
UK,UK,electricity,electricity_central,dem,d011,38.05909127708333
EE,EE,electricity,electricity_central,dem,d011,0.9266156672916664
LT,LT,electricity,electricity_central,dem,d011,0.5621148324583333
LV,LV,electricity,electricity_central,dem,d011,0.7998038530833332
NONEU_Balkan,NONEU_Balkan,electricity,electricity_central,dem,d011,5.983467515375
TR,TR,electricity,electricity_central,dem,d011,29.95863369916667
AT,AT,electricity,electricity_central,dem,d012,4.446088906625
BE,BE,electricity,electricity_central,dem,d012,5.367733436166667
BG,BG,electricity,electricity_central,dem,d012,4.496613510375
CH,CH,electricity,electricity_central,dem,d012,9.737041187291666
CZ,CZ,electricity,electricity_central,dem,d012,5.136908703666665
DK,DK,electricity,electricity_central,dem,d012,4.192040113333333
ES,ES,electricity,electricity_central,dem,d012,26.971408811666667
FI,FI,electricity,electricity_central,dem,d012,2.5788694966666665
FR,FR,electricity,electricity_central,dem,d012,63.48119987375
GR,GR,electricity,electricity_central,dem,d012,6.906559581916667
HR,HR,electricity,electricity_central,dem,d012,2.138117710541666
HU,HU,electricity,electricity_central,dem,d012,3.28634860425
IE,IE,electricity,electricity_central,dem,d012,2.6614312661666664
IT,IT,electricity,electricity_central,dem,d012,13.395083644583337
LU,LU,electricity,electricity_central,dem,d012,0.8323908676250001
NL,NL,electricity,electricity_central,dem,d012,7.5485336602916675
NO,NO,electricity,electricity_central,dem,d012,14.33951367625
PL,PL,electricity,electricity_central,dem,d012,16.550565120833333
PT,PT,electricity,electricity_central,dem,d012,4.799173507833333
