technology_1,region_1,parameter,timestep_2,value
rooftop,SE,avaConv,d010,0.007200666666666667
rooftop,SI,avaConv,d010,0.027576354166666667
rooftop,SK,avaConv,d010,0.022863079166666665
rooftop,UK,avaConv,d010,0.010965441666666666
rooftop,EE,avaConv,d010,0.016194470833333332
rooftop,LT,avaConv,d010,0.0022415458333333335
rooftop,LV,avaConv,d010,0.004258916666666667
rooftop,NONEU_Balkan,avaConv,d010,0.070519504
rooftop,TR,avaConv,d010,0.09116864166666666
rooftop,AT,avaConv,d011,0.046477958333333326
rooftop,BE,avaConv,d011,0.032341283333333325
rooftop,BG,avaConv,d011,0.026042041666666668
rooftop,CH,avaConv,d011,0.03811844166666667
rooftop,CZ,avaConv,d011,0.03360256666666666
rooftop,DK,avaConv,d011,0.014080120833333334
rooftop,ES,avaConv,d011,0.07767185416666665
rooftop,FI,avaConv,d011,0.007151783333333332
rooftop,FR,avaConv,d011,0.044875483333333334
rooftop,GR,avaConv,d011,0.047980216666666665
rooftop,HR,avaConv,d011,0.04222453237499999
rooftop,HU,avaConv,d011,0.0240104375
rooftop,IE,avaConv,d011,0.012754466666666665
rooftop,IT,avaConv,d011,0.054231158333333335
rooftop,LU,avaConv,d011,0.03760852083333333
rooftop,NL,avaConv,d011,0.034461933333333326
rooftop,NO,avaConv,d011,0.017804354166666665
rooftop,PL,avaConv,d011,0.018000033333333332
rooftop,PT,avaConv,d011,0.055986029166666666
rooftop,RO,avaConv,d011,0.03807655833333334
rooftop,SE,avaConv,d011,0.007337254166666665
rooftop,SI,avaConv,d011,0.04396233333333333
rooftop,SK,avaConv,d011,0.024923033333333334
rooftop,UK,avaConv,d011,0.016603241666666664
rooftop,EE,avaConv,d011,0.0084945875
rooftop,LT,avaConv,d011,0.005893358333333334
rooftop,LV,avaConv,d011,0.005304220833333334
rooftop,NONEU_Balkan,avaConv,d011,0.03727620166666667
rooftop,TR,avaConv,d011,0.047980216666666665
rooftop,AT,avaConv,d012,0.043280824999999995
rooftop,BE,avaConv,d012,0.043022641666666674
rooftop,BG,avaConv,d012,0.02681618333333333
rooftop,CH,avaConv,d012,0.05922627083333334
rooftop,CZ,avaConv,d012,0.035594708333333336
rooftop,DK,avaConv,d012,0.01649375
