region_1,region_2,carrier_1,parameter,timestep_2,value
FR,FR,heatResidental,dem,d014,37.36511246875
GR,GR,heatResidental,dem,d014,3.9457888951666664
HR,HR,heatResidental,dem,d014,0.8746911453333334
HU,HU,heatResidental,dem,d014,3.0969765069166666
IE,IE,heatResidental,dem,d014,2.2562015423750004
IT,IT,heatResidental,dem,d014,27.917856932833327
LU,LU,heatResidental,dem,d014,0.3005381835416666
NL,NL,heatResidental,dem,d014,9.365266966999998
NO,NO,heatResidental,dem,d014,1.7650427588333333
PL,PL,heatResidental,dem,d014,10.152845336583335
PT,PT,heatResidental,dem,d014,4.334001935333332
RO,RO,heatResidental,dem,d014,1.9508844222916668
SE,SE,heatResidental,dem,d014,9.766032665291668
SI,SI,heatResidental,dem,d014,0.8764489694583334
SK,SK,heatResidental,dem,d014,0.7240657555833333
UK,UK,heatResidental,dem,d014,24.39612564416667
EE,EE,heatResidental,dem,d014,0.7838968594166665
LT,LT,heatResidental,dem,d014,1.0971614466250001
LV,LV,heatResidental,dem,d014,0.7854262293333331
NONEU_Balkan,NONEU_Balkan,heatResidental,dem,d014,1.613007054166667
TR,TR,heatResidental,dem,d014,19.74777405916667
AT,AT,heatResidental,dem,d015,5.871977872041666
BE,BE,heatResidental,dem,d015,2.741721876833333
BG,BG,heatResidental,dem,d015,1.4927018690000002
CH,CH,heatResidental,dem,d015,2.4293838986250003
CZ,CZ,heatResidental,dem,d015,3.956237410583333
DK,DK,heatResidental,dem,d015,3.6248453922916677
ES,ES,heatResidental,dem,d015,14.580602675833333
FI,FI,heatResidental,dem,d015,11.353682065125
FR,FR,heatResidental,dem,d015,37.35434528333334
GR,GR,heatResidental,dem,d015,3.9221221884166653
HR,HR,heatResidental,dem,d015,0.8739882239166668
HU,HU,heatResidental,dem,d015,3.094023865666667
IE,IE,heatResidental,dem,d015,2.2503498736250003
IT,IT,heatResidental,dem,d015,27.358618003000014
LU,LU,heatResidental,dem,d015,0.2998866350833333
NL,NL,heatResidental,dem,d015,9.346530425666666
NO,NO,heatResidental,dem,d015,1.765223395375
PL,PL,heatResidental,dem,d015,10.146287464625003
PT,PT,heatResidental,dem,d015,4.262213594583333
RO,RO,heatResidental,dem,d015,1.9495481796250005
SE,SE,heatResidental,dem,d015,9.766727676583335
SI,SI,heatResidental,dem,d015,0.8751105080416667
SK,SK,heatResidental,dem,d015,0.723983616625
UK,UK,heatResidental,dem,d015,24.339106652916666
EE,EE,heatResidental,dem,d015,0.7827316180000001
LT,LT,heatResidental,dem,d015,1.0954903053333334
LV,LV,heatResidental,dem,d015,0.783846097375
NONEU_Balkan,NONEU_Balkan,heatResidental,dem,d015,1.6114142042499997
TR,TR,heatResidental,dem,d015,19.63350468333333
AT,AT,heatResidental,dem,d016,5.870137235249999
BE,BE,heatResidental,dem,d016,2.73949527675
BG,BG,heatResidental,dem,d016,1.4920641384999997
