technology_1,region_1,region_2,parameter,timestep_2,value
pumpedHydro,DE,DED4,stInflow,d016,0.5644777649999999
pumpedHydro,DE,DEF0,stInflow,d016,0.07498286699999995
pumpedHydro,DE,DEG0,stInflow,d016,1.7566211039999997
pumpedHydro,DE,DEB2,stInflow,d016,0.6494302639999998
pumpedHydro,DE,DE21,stInflow,d016,0.077229545
pumpedHydro,DE,DE23,stInflow,d016,0.05616694199999996
pumpedHydro,DE,DE26,stInflow,d016,0.16119912299999994
pumpedHydro,DE,DE73,stInflow,d016,0.6123600830000003
pumpedHydro,DE,DE91,stInflow,d016,0.131992313
pumpedHydro,DE,DE13,stInflow,d016,1.4590767299999998
pumpedHydro,DE,DE14,stInflow,d016,0.07863371800000003
pumpedHydro,DE,DE12,stInflow,d017,0.042265624
pumpedHydro,DE,DEA5,stInflow,d017,0.1797342139999999
pumpedHydro,DE,DED2,stInflow,d017,0.11092971000000001
pumpedHydro,DE,DED4,stInflow,d017,0.5644777649999999
pumpedHydro,DE,DEF0,stInflow,d017,0.07498286699999995
pumpedHydro,DE,DEG0,stInflow,d017,1.7566211039999997
pumpedHydro,DE,DEB2,stInflow,d017,0.6494302639999998
pumpedHydro,DE,DE21,stInflow,d017,0.077229545
pumpedHydro,DE,DE23,stInflow,d017,0.05616694199999996
pumpedHydro,DE,DE26,stInflow,d017,0.16119912299999994
pumpedHydro,DE,DE73,stInflow,d017,0.6123600830000003
pumpedHydro,DE,DE91,stInflow,d017,0.131992313
pumpedHydro,DE,DE13,stInflow,d017,1.4590767299999998
pumpedHydro,DE,DE14,stInflow,d017,0.07863371800000003
pumpedHydro,DE,DE12,stInflow,d018,0.042265624
pumpedHydro,DE,DEA5,stInflow,d018,0.1797342139999999
pumpedHydro,DE,DED2,stInflow,d018,0.11092971000000001
pumpedHydro,DE,DED4,stInflow,d018,0.5644777649999999
pumpedHydro,DE,DEF0,stInflow,d018,0.07498286699999995
pumpedHydro,DE,DEG0,stInflow,d018,1.7566211039999997
pumpedHydro,DE,DEB2,stInflow,d018,0.6494302639999998
pumpedHydro,DE,DE21,stInflow,d018,0.077229545
pumpedHydro,DE,DE23,stInflow,d018,0.05616694199999996
pumpedHydro,DE,DE26,stInflow,d018,0.16119912299999994
pumpedHydro,DE,DE73,stInflow,d018,0.6123600830000003
pumpedHydro,DE,DE91,stInflow,d018,0.131992313
pumpedHydro,DE,DE13,stInflow,d018,1.4590767299999998
pumpedHydro,DE,DE14,stInflow,d018,0.07863371800000003
pumpedHydro,DE,DE12,stInflow,d019,0.042265624
pumpedHydro,DE,DEA5,stInflow,d019,0.1797342139999999
pumpedHydro,DE,DED2,stInflow,d019,0.11092971000000001
pumpedHydro,DE,DED4,stInflow,d019,0.5644777649999999
pumpedHydro,DE,DEF0,stInflow,d019,0.07498286699999995
pumpedHydro,DE,DEG0,stInflow,d019,1.7566211039999997
pumpedHydro,DE,DEB2,stInflow,d019,0.6494302639999998
pumpedHydro,DE,DE21,stInflow,d019,0.077229545
pumpedHydro,DE,DE23,stInflow,d019,0.05616694199999996
pumpedHydro,DE,DE26,stInflow,d019,0.16119912299999994
pumpedHydro,DE,DE73,stInflow,d019,0.6123600830000003
pumpedHydro,DE,DE91,stInflow,d019,0.131992313
pumpedHydro,DE,DE13,stInflow,d019,1.4590767299999998
pumpedHydro,DE,DE14,stInflow,d019,0.07863371800000003
pumpedHydro,DE,DE12,stInflow,d020,0.042265624
pumpedHydro,DE,DEA5,stInflow,d020,0.1797342139999999
pumpedHydro,DE,DED2,stInflow,d020,0.11092971000000001
pumpedHydro,DE,DED4,stInflow,d020,0.5644777649999999
pumpedHydro,DE,DEF0,stInflow,d020,0.07498286699999995
pumpedHydro,DE,DEG0,stInflow,d020,1.7566211039999997
pumpedHydro,DE,DEB2,stInflow,d020,0.6494302639999998
pumpedHydro,DE,DE21,stInflow,d020,0.077229545
pumpedHydro,DE,DE23,stInflow,d020,0.05616694199999996
pumpedHydro,DE,DE26,stInflow,d020,0.16119912299999994
pumpedHydro,DE,DE73,stInflow,d020,0.6123600830000003
pumpedHydro,DE,DE91,stInflow,d020,0.131992313
pumpedHydro,DE,DE13,stInflow,d020,1.4590767299999998
pumpedHydro,DE,DE14,stInflow,d020,0.07863371800000003
pumpedHydro,DE,DE12,stInflow,d021,0.042265624
pumpedHydro,DE,DEA5,stInflow,d021,0.1797342139999999
