technology_1,technology_2,region_1,parameter,timestep_2,value
openspace,openspace_a,IT,avaConv,d007,0.11234283333333334
openspace,openspace_a,LU,avaConv,d007,0.029736791666666665
openspace,openspace_a,NL,avaConv,d007,0.011169916666666667
openspace,openspace_a,NO,avaConv,d007,0.004740291666666667
openspace,openspace_a,PL,avaConv,d007,0.059191125000000004
openspace,openspace_a,PT,avaConv,d007,0.10316254166666665
openspace,openspace_a,RO,avaConv,d007,0.063846
openspace,openspace_a,SE,avaConv,d007,0.0051845
openspace,openspace_a,SI,avaConv,d007,0.060028374999999995
openspace,openspace_a,SK,avaConv,d007,0.09465304166666667
openspace,openspace_a,UK,avaConv,d007,0.007907375000000001
openspace,openspace_a,EE,avaConv,d007,0.013701208333333333
openspace,openspace_a,LT,avaConv,d007,0.04151325
openspace,openspace_a,LV,avaConv,d007,0.023144583333333333
openspace,openspace_a,NONEU_Balkan,avaConv,d007,0.07327016804166667
openspace,openspace_a,TR,avaConv,d007,0.09899275000000002
openspace,openspace_a,AT,avaConv,d008,0.04034775
openspace,openspace_a,BE,avaConv,d008,0.015511208333333333
openspace,openspace_a,BG,avaConv,d008,0.09668704166666668
openspace,openspace_a,CH,avaConv,d008,0.1287017083333333
openspace,openspace_a,CZ,avaConv,d008,0.013420958333333335
openspace,openspace_a,DK,avaConv,d008,0.004335583333333333
openspace,openspace_a,ES,avaConv,d008,0.12995408333333333
openspace,openspace_a,FI,avaConv,d008,0.0011745
openspace,openspace_a,FR,avaConv,d008,0.07805050000000001
openspace,openspace_a,GR,avaConv,d008,0.12489741666666669
openspace,openspace_a,HR,avaConv,d008,0.05549652604166667
openspace,openspace_a,HU,avaConv,d008,0.07373091666666666
openspace,openspace_a,IE,avaConv,d008,0.05789524999999999
openspace,openspace_a,IT,avaConv,d008,0.09444616666666666
openspace,openspace_a,LU,avaConv,d008,0.024575625
openspace,openspace_a,NL,avaConv,d008,0.00924075
openspace,openspace_a,NO,avaConv,d008,0.019807375
openspace,openspace_a,PL,avaConv,d008,0.02869045833333333
openspace,openspace_a,PT,avaConv,d008,0.05271891666666668
openspace,openspace_a,RO,avaConv,d008,0.08452041666666667
openspace,openspace_a,SE,avaConv,d008,0.00769225
openspace,openspace_a,SI,avaConv,d008,0.037064625
openspace,openspace_a,SK,avaConv,d008,0.05660558333333334
openspace,openspace_a,UK,avaConv,d008,0.009567041666666666
openspace,openspace_a,EE,avaConv,d008,0.0071245
openspace,openspace_a,LT,avaConv,d008,0.02229604166666667
openspace,openspace_a,LV,avaConv,d008,0.017062041666666666
openspace,openspace_a,NONEU_Balkan,avaConv,d008,0.09966743337499999
openspace,openspace_a,TR,avaConv,d008,0.12489741666666669
openspace,openspace_a,AT,avaConv,d009,0.07066645833333333
openspace,openspace_a,BE,avaConv,d009,0.004795791666666666
openspace,openspace_a,BG,avaConv,d009,0.103508125
openspace,openspace_a,CH,avaConv,d009,0.08601975
openspace,openspace_a,CZ,avaConv,d009,0.02527725
openspace,openspace_a,DK,avaConv,d009,0.002241125
openspace,openspace_a,ES,avaConv,d009,0.08444158333333333
openspace,openspace_a,FI,avaConv,d009,0.003606083333333333
openspace,openspace_a,FR,avaConv,d009,0.054827249999999994
openspace,openspace_a,GR,avaConv,d009,0.13149916666666664
openspace,openspace_a,HR,avaConv,d009,0.08484413020833333
openspace,openspace_a,HU,avaConv,d009,0.044786125
openspace,openspace_a,IE,avaConv,d009,0.02137341666666667
openspace,openspace_a,IT,avaConv,d009,0.08795470833333331
openspace,openspace_a,LU,avaConv,d009,0.014387208333333333
openspace,openspace_a,NL,avaConv,d009,0.004942083333333334
openspace,openspace_a,NO,avaConv,d009,0.006552666666666668
openspace,openspace_a,PL,avaConv,d009,0.042321374999999994
openspace,openspace_a,PT,avaConv,d009,0.048083125
openspace,openspace_a,RO,avaConv,d009,0.080006625
openspace,openspace_a,SE,avaConv,d009,0.004346541666666667
openspace,openspace_a,SI,avaConv,d009,0.07395762500000001
openspace,openspace_a,SK,avaConv,d009,0.05809154166666666
openspace,openspace_a,UK,avaConv,d009,0.03403991666666666
openspace,openspace_a,EE,avaConv,d009,0.004736375
openspace,openspace_a,LT,avaConv,d009,0.0287695
openspace,openspace_a,LV,avaConv,d009,0.009738416666666668
openspace,openspace_a,NONEU_Balkan,avaConv,d009,0.10626792495833333
openspace,openspace_a,TR,avaConv,d009,0.13149916666666664
openspace,openspace_a,AT,avaConv,d010,0.04908033333333333
openspace,openspace_a,BE,avaConv,d010,0.03323308333333334
openspace,openspace_a,BG,avaConv,d010,0.11034575
openspace,openspace_a,CH,avaConv,d010,0.042861375
openspace,openspace_a,CZ,avaConv,d010,0.032871083333333335
openspace,openspace_a,DK,avaConv,d010,0.05837529166666666
openspace,openspace_a,ES,avaConv,d010,0.07603195833333333
openspace,openspace_a,FI,avaConv,d010,0.005380833333333334
openspace,openspace_a,FR,avaConv,d010,0.033046791666666665
openspace,openspace_a,GR,avaConv,d010,0.13024091666666668
