technology_1,technology_2,parameter,timestep_2,value
wind_offshore,offshore_a,avaConv,d208,0.10910607845833335
wind_offshore,offshore_a,avaConv,d209,0.3035457278333333
wind_offshore,offshore_a,avaConv,d210,0.08957527587500001
wind_offshore,offshore_a,avaConv,d211,0.1828709878333333
wind_offshore,offshore_a,avaConv,d212,0.2015848267083333
wind_offshore,offshore_a,avaConv,d213,0.1818183248333333
wind_offshore,offshore_a,avaConv,d214,0.39172369008333346
wind_offshore,offshore_a,avaConv,d215,0.17127974449999997
wind_offshore,offshore_a,avaConv,d216,0.6214861279166667
wind_offshore,offshore_a,avaConv,d217,0.6489510439583334
wind_offshore,offshore_a,avaConv,d218,0.39941634720833336
wind_offshore,offshore_a,avaConv,d219,0.40538280129166676
wind_offshore,offshore_a,avaConv,d220,0.7224613569166668
wind_offshore,offshore_a,avaConv,d221,0.7876773244166668
wind_offshore,offshore_a,avaConv,d222,0.7113156007916666
wind_offshore,offshore_a,avaConv,d223,0.6449678499999997
wind_offshore,offshore_a,avaConv,d224,0.36492660699999996
wind_offshore,offshore_a,avaConv,d225,0.5134937322083334
wind_offshore,offshore_a,avaConv,d226,0.5951410385000001
wind_offshore,offshore_a,avaConv,d227,0.31622253329166666
wind_offshore,offshore_a,avaConv,d228,0.14690504295833334
wind_offshore,offshore_a,avaConv,d229,0.13246174254166668
wind_offshore,offshore_a,avaConv,d230,0.11109936179166664
wind_offshore,offshore_a,avaConv,d231,0.19158914091666668
wind_offshore,offshore_a,avaConv,d232,0.1576504672083333
wind_offshore,offshore_a,avaConv,d233,0.5044535567916665
wind_offshore,offshore_a,avaConv,d234,0.5310655885000001
wind_offshore,offshore_a,avaConv,d235,0.482228770875
wind_offshore,offshore_a,avaConv,d236,0.10921736733333333
wind_offshore,offshore_a,avaConv,d237,0.3257492397499999
wind_offshore,offshore_a,avaConv,d238,0.22732308462500006
wind_offshore,offshore_a,avaConv,d239,0.3129005690416667
wind_offshore,offshore_a,avaConv,d240,0.22320046533333335
wind_offshore,offshore_a,avaConv,d241,0.5366137320833334
wind_offshore,offshore_a,avaConv,d242,0.5309784539999999
wind_offshore,offshore_a,avaConv,d243,0.3107046059583334
wind_offshore,offshore_a,avaConv,d244,0.183283744625
wind_offshore,offshore_a,avaConv,d245,0.25601346383333334
wind_offshore,offshore_a,avaConv,d246,0.5033084682916666
wind_offshore,offshore_a,avaConv,d247,0.250266351125
wind_offshore,offshore_a,avaConv,d248,0.3477545845
wind_offshore,offshore_a,avaConv,d249,0.13575005308333332
wind_offshore,offshore_a,avaConv,d250,0.21095209491666658
wind_offshore,offshore_a,avaConv,d251,0.111257905625
wind_offshore,offshore_a,avaConv,d252,0.302277645875
wind_offshore,offshore_a,avaConv,d253,0.21388688933333333
wind_offshore,offshore_a,avaConv,d254,0.3196669464583333
wind_offshore,offshore_a,avaConv,d255,0.2752918020833333
wind_offshore,offshore_a,avaConv,d256,0.23708887679166668
wind_offshore,offshore_a,avaConv,d257,0.40118867166666666
wind_offshore,offshore_a,avaConv,d258,0.5914694943333333
wind_offshore,offshore_a,avaConv,d259,0.6092913265
wind_offshore,offshore_a,avaConv,d260,0.28249786354166667
wind_offshore,offshore_a,avaConv,d261,0.3303264034166667
